,ind cell,total index,TARPg3,Islet1,Pax6,DAPI,CD15,GLT-1,Cav3.1,DAPI,CABP5,SCGN,Kv2.2,DAPI,CAVIII,Rec,DAPI,Calb,PKC,Parv,DAPI
,21_s1m1_cell 91,cell 91,741.853,2837.132,453.281,2494.354,1481.002,1635.842,1403.676,782.399,3166.117,614.139,2308.403,1564.13,3031.52,3412.09,615.292,659.326,950.373,353.017,2358.864
,21_s1m1_cell 92,cell 92,661.83,2471.02,2138.826,3535.842,1454.119,1604.807,1384.57,1028.981,3185.494,528.825,2323.396,1943.797,2133.393,1846.626,700.927,643.613,716.77,367.295,2890.474
,21_s1m1_cell 93,cell 93,681.893,1943.616,1090.743,3653.96,1483.724,1624.19,1488.982,936.784,3005.828,1123.111,2414.184,1779.19,2485.777,2107.304,657.242,636.432,776.581,340.146,2602.59
,21_s1m1_cell 94,cell 94,805.766,1081.095,455.379,288.619,1855.663,1858.543,1607.272,203.029,3422.733,771.838,2335.996,326.899,2520.44,5199.592,336.137,1073.259,2086.859,1739.857,399.326
,21_s1m1_cell 95,cell 95,822.753,2925.626,482.149,1979.889,1426.946,1473.884,1150.331,727.786,2642.415,750.734,2338.815,1487.773,2264.109,2915.678,554.827,625.731,819.993,409.615,2099.182
,21_s1m1_cell 96,cell 96,335.187,1786.82,1545.843,1649.482,1177.245,1128.528,1042.192,734.403,2254.693,373.117,2252.848,1591.451,1766.084,1370.62,648.229,623.727,646.886,312.842,2272.149
,21_s1m1_cell 97,cell 97,463.581,3489.888,475.508,2524.729,1400.929,1528.144,1305.205,741.23,3612.084,659.572,2299.642,1518.094,3172.923,2169.185,553.966,628.549,945.884,302.005,2229.681
,21_s1m1_cell 98,cell 98,678.82,1658.165,1256.602,2649.492,1269.231,1081.116,967.396,1129.538,2316.798,462.442,2321.352,2565.579,1995.558,1359.174,965.198,643.102,696.149,346.029,3266.388
,21_s1m1_cell 99,cell 99,576.201,2092.138,1589.618,3108.829,1465.253,1606.65,1451.609,852.561,3325.019,796.002,2382.51,1675.666,2371.208,1841.944,605.148,652.776,853.869,459.394,2293.346
,21_s1m1_cell 100,cell 100,667.244,2200.381,464.907,2786.156,1418.857,1531.341,1417.374,866.378,3474.244,352.913,2239.549,1582.069,2460.25,3104.046,578.8,642.945,908.031,327.659,2427.366
,21_s1m1_cell 101,cell 101,575.804,1719.245,512.28,255.532,1353.752,1159.69,1004.076,182.107,2510.604,441.295,2360.365,325.807,2243.918,1099.869,339.991,741.212,706.979,375.474,293.417
,21_s1m1_cell 102,cell 102,613.61,1728.789,996.219,1849.359,1400.407,1510.261,1237.123,707.549,2641.113,361.583,2158.191,1384.647,2095.059,2841.718,547.636,634.343,1405.415,1401.86,2032.151
,21_s1m1_cell 103,cell 103,613.712,1567.997,634.411,3076.518,1387.498,1614.913,1679.961,806.064,3855.89,349.006,2267.599,1576.294,2102.423,2069.863,609.624,635.681,718.114,310.311,2351.085
,21_s1m1_cell 104,cell 104,656.14,1245.992,620.191,1527.966,1291.745,1074.826,950.459,830.759,2577.791,519.191,2341.978,2124.958,2150.771,1345.089,837.147,652.473,742.42,417.533,2378.784
,21_s1m1_cell 105,cell 105,630.563,2090.708,1741.581,3204.857,1464.693,1584.345,1496.814,894.749,2888.699,374.751,2324.063,1729.668,2230.282,1721.528,670.761,682.502,626.641,331.178,2529.799
,21_s1m1_cell 106,cell 106,573.369,2498.459,2560.093,2999.775,1432.061,1540.461,1301.439,1055.41,2649.957,373.952,2344.709,2119.977,2227.08,1491.169,783.839,692.268,638.844,339.267,3031.671
,21_s1m1_cell 107,cell 107,601.659,2818.783,649.416,2607.387,1449.766,1609.857,1656.853,813.346,3866.325,376.114,2279.566,1582.927,3234.302,1989.309,640.723,673.791,1165.544,338.938,2305.16
,21_s1m1_cell 108,cell 108,751.278,2851.115,558.706,1927.048,1362.922,1481.103,1255.508,751.969,2741.611,615.538,2251.796,1438.797,2482.67,2673.47,534.34,633.737,956.315,534.879,2046.616
,21_s1m1_cell 109,cell 109,508.167,1627.061,527.647,273.94,1354.193,1086.202,989,190.935,2269.187,423.46,2316.948,364.157,2185.872,1058.519,349.905,627.881,732.259,349.282,336.731
,21_s1m1_cell 110,cell 110,1139.855,1411.029,500.861,288.195,1609.357,1963.625,1638.533,203.924,3423.729,681.223,2356.107,304.592,2642.25,6655.568,307.996,1245.635,1981.207,1575.945,380.102
,21_s1m1_cell 111,cell 111,831.646,3763.203,4309.913,3474.218,1516.153,1510.598,1445.526,908.856,2587.847,524.666,2461.657,1734.225,2495.53,1558.565,698.572,697.494,802.181,366.378,2434.836
,21_s1m1_cell 112,cell 112,606.992,3587.12,4176.492,1976.451,1364.005,1223.782,1104.906,857.987,2511.521,493.155,2425.083,2084.018,2191.561,1348.009,838.736,663.449,744.224,315.022,2547.52
,21_s1m1_cell 113,cell 113,661.489,2466.348,476.419,1663.054,1393.17,1535.174,1359.089,675.001,3151.297,568.669,2158.764,1348.156,2265.185,2928.134,536.828,675.274,1033.706,727.86,1957.333
,21_s1m1_cell 114,cell 114,560.683,2109.152,470.126,2201.085,1393.198,1574.167,1478.264,722.726,4005.675,656.065,2317.716,1398.784,3485.72,2223.916,593.219,640.516,1003.775,330.28,2057.92
,21_s1m1_cell 115,cell 115,526.469,3809.664,984.245,2953.073,1399.884,1561.085,1332.778,775.461,3321.044,975.779,2419.209,1586.858,3667.596,1906.259,655.991,644.537,907.537,295.254,2379.458
,21_s1m1_cell 116,cell 116,730.946,2698.476,1765.998,4201.585,1487.882,1598.557,1366.469,1016.725,2592.175,1671.288,2564.819,1933.659,2952.109,1628.993,747.873,653.86,816.229,324.753,2683.439
,21_s1m1_cell 117,cell 117,744.223,3093.986,3413.863,3910.297,1561.459,1573.193,1295.684,1202.097,2630.628,642.279,2435.07,2479.821,2453.195,1374.442,896.55,704.191,828.391,366.539,3251.424
,21_s1m1_cell 118,cell 118,663.831,2556.785,2464.824,2405.57,1514.19,1410.297,1095.054,999.394,2573.589,545.996,2389.521,2326.968,2341.853,1542.239,868.616,696.651,784.06,346.761,2766.171
