ROI number,Brn3a-_neg,CalR+,MEIS2+,CAVIII+,FOXP2+,Syt6+,Syt10+,Satb2+,RBPMS+,Pvalb_neg,CalB_neg,,RBPMS,Satb2+,Syt10+,Syt6+,FoxP2+,Ca8,MEIS2+,CalR,Brn3a,PValB,CalB,all,Cluster Assignment,,,,,,,,,,
1586,1,0,1,0,0,0,1,0,0,1,1,,AC/,/,Syt10+/,/,/,/,MEIS+/,/,/,/,/,AC//Syt10+////MEIS+/////,6,,,,,,,,,,
1587,1,0,0,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,/,/,/,PValB+,/,AC/////////PValB+/,9,,,,,,,,,,
1588,1,0,1,0,0,0,0,0,0,1,0,,AC/,/,/,/,/,/,MEIS+/,/,/,/,CalB+,AC//////MEIS+////CalB+,21,,,,,,,,,,
1589,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1590,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
1591,1,0,1,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,MEIS+/,/,/,PValB+,/,AC//////MEIS+///PValB+/,3,,,,,,,,,,
1592,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1593,0,0,1,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,AC//////MEIS+//Brn3a+PValB+CalB+,24,,,,,,,,,,
1594,1,0,1,0,0,1,0,0,0,1,1,,AC/,/,/,Syt6+/,/,/,MEIS+/,/,/,/,/,AC///Syt6+///MEIS+/////,2,,,,,,,,,,
1595,0,0,1,1,0,0,0,0,1,0,0,,GC/,/,/,/,/,Ca8+/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC/////Ca8+/MEIS+//Brn3a+PValB+CalB+,26,,,,,,,,,,
1596,1,1,1,1,0,0,1,0,0,0,0,,AC/,/,Syt10+/,/,/,Ca8+/,MEIS+/,CalR+/,/,PValB+,CalB+,AC//Syt10+///Ca8+/MEIS+/CalR+//PValB+CalB+,13,,,,,,,,,,
1597,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1598,0,0,1,1,0,0,0,0,1,0,0,,GC/,/,/,/,/,Ca8+/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC/////Ca8+/MEIS+//Brn3a+PValB+CalB+,26,,,,,,,,,,
1599,1,0,1,0,0,0,0,0,0,1,0,,AC/,/,/,/,/,/,MEIS+/,/,/,/,CalB+,AC//////MEIS+////CalB+,21,,,,,,,,,,
1600,0,0,0,0,0,0,0,0,0,1,0,,AC/,/,/,/,/,/,/,/,Brn3a+,/,CalB+,AC////////Brn3a+/CalB+,29,,,,,,,,,,
1601,0,0,0,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,/,/,Brn3a+,PValB+,CalB+,AC////////Brn3a+PValB+CalB+,27,,,,,,,,,,
1602,1,0,0,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,/,/,/,PValB+,/,AC/////////PValB+/,9,,,,,,,,,,
1603,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1604,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1605,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1606,0,0,0,0,0,1,0,0,0,0,0,,AC/,/,/,Syt6+/,/,/,/,/,Brn3a+,PValB+,CalB+,AC///Syt6+/////Brn3a+PValB+CalB+,1,,,,,,,,,,
1607,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1608,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
1609,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1610,1,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,/,PValB+,CalB+,GC//////MEIS+///PValB+CalB+,0,,,,,,,,,,
1611,1,0,1,0,0,1,0,0,0,1,1,,AC/,/,/,Syt6+/,/,/,MEIS+/,/,/,/,/,AC///Syt6+///MEIS+/////,2,,,,,,,,,,
1612,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1613,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1614,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1615,0,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,Brn3a+,/,/,AC////////Brn3a+//,25,,,,,,,,,,
1616,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1617,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1618,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1619,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1620,1,0,0,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,/,/,/,PValB+,CalB+,AC/////////PValB+CalB+,7,,,,,,,,,,
1621,1,0,1,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,MEIS+/,/,/,/,/,AC//////MEIS+/////,15,,,,,,,,,,
1622,1,1,1,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,MEIS+/,CalR+/,/,PValB+,/,AC//////MEIS+/CalR+//PValB+/,13,,,,,,,,,,
1623,0,1,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,CalR+/,Brn3a+,PValB+,CalB+,GC//////MEIS+/CalR+/Brn3a+PValB+CalB+,23,,,,,,,,,,
1624,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1625,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1626,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1627,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1628,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1629,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1630,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1631,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1632,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1633,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1634,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1635,0,0,0,0,0,1,0,0,0,0,0,,AC/,/,/,Syt6+/,/,/,/,/,Brn3a+,PValB+,CalB+,AC///Syt6+/////Brn3a+PValB+CalB+,1,,,,,,,,,,
1636,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1637,1,0,0,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,/,/,/,PValB+,CalB+,AC/////////PValB+CalB+,7,,,,,,,,,,
1638,1,0,1,0,0,1,0,0,0,1,1,,AC/,/,/,Syt6+/,/,/,MEIS+/,/,/,/,/,AC///Syt6+///MEIS+/////,2,,,,,,,,,,
1639,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1640,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1641,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1642,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1643,1,0,0,0,0,0,0,0,0,1,0,,AC/,/,/,/,/,/,/,/,/,/,CalB+,AC//////////CalB+,17,,,,,,,,,,
1644,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1645,0,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,Brn3a+,/,/,AC////////Brn3a+//,25,,,,,,,,,,
1646,0,0,1,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,AC//////MEIS+//Brn3a+PValB+CalB+,24,,,,,,,,,,
1647,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
1648,1,0,1,0,0,0,1,0,0,1,1,,AC/,/,Syt10+/,/,/,/,MEIS+/,/,/,/,/,AC//Syt10+////MEIS+/////,6,,,,,,,,,,
1649,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1650,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1651,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1652,1,0,0,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,/,/,/,PValB+,CalB+,AC/////////PValB+CalB+,7,,,,,,,,,,
1653,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1654,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1655,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
1656,0,0,0,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,/,/,Brn3a+,PValB+,CalB+,GC////////Brn3a+PValB+CalB+,22,,,,,,,,,,
1657,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
1658,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
1659,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
1660,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1661,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1662,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1663,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1664,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
1665,0,0,1,0,0,0,0,0,1,0,1,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,/,GC//////MEIS+//Brn3a+PValB+/,28,,,,,,,,,,
1666,0,0,0,0,0,1,0,0,0,0,0,,AC/,/,/,Syt6+/,/,/,/,/,Brn3a+,PValB+,CalB+,AC///Syt6+/////Brn3a+PValB+CalB+,1,,,,,,,,,,
1667,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1668,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1669,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1670,0,0,1,0,0,0,0,0,1,0,1,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,/,GC//////MEIS+//Brn3a+PValB+/,28,,,,,,,,,,
1671,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1672,1,0,0,0,0,0,0,0,0,1,0,,AC/,/,/,/,/,/,/,/,/,/,CalB+,AC//////////CalB+,17,,,,,,,,,,
1673,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1674,1,0,1,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,MEIS+/,/,/,/,/,AC//////MEIS+/////,15,,,,,,,,,,
1675,1,0,1,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,MEIS+/,/,/,/,/,AC//////MEIS+/////,15,,,,,,,,,,
1676,1,0,1,0,0,0,0,0,1,0,1,,GC/,/,/,/,/,/,MEIS+/,/,/,PValB+,/,GC//////MEIS+///PValB+/,4,,,,,,,,,,
1677,0,1,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,CalR+/,Brn3a+,PValB+,CalB+,GC//////MEIS+/CalR+/Brn3a+PValB+CalB+,23,,,,,,,,,,
1678,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1679,1,0,1,0,0,1,1,0,0,1,1,,AC/,/,Syt10+/,Syt6+/,/,/,MEIS+/,/,/,/,/,AC//Syt10+/Syt6+///MEIS+/////,2,,,,,,,,,,
1680,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1681,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1682,0,0,1,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,/,AC//////MEIS+//Brn3a+PValB+/,28,,,,,,,,,,
1683,1,0,0,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,/,/,/,PValB+,CalB+,AC/////////PValB+CalB+,7,,,,,,,,,,
1684,0,0,0,0,0,1,0,0,0,0,0,,AC/,/,/,Syt6+/,/,/,/,/,Brn3a+,PValB+,CalB+,AC///Syt6+/////Brn3a+PValB+CalB+,1,,,,,,,,,,
1685,0,0,0,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,/,/,Brn3a+,PValB+,CalB+,GC////////Brn3a+PValB+CalB+,22,,,,,,,,,,
1686,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
1687,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1688,0,0,1,1,0,0,0,0,1,0,0,,GC/,/,/,/,/,Ca8+/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC/////Ca8+/MEIS+//Brn3a+PValB+CalB+,26,,,,,,,,,,
1689,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
1690,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1691,0,0,1,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,AC//////MEIS+//Brn3a+PValB+CalB+,24,,,,,,,,,,
1692,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1693,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1694,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1695,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1696,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
1697,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
1698,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1699,0,0,1,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,/,AC//////MEIS+//Brn3a+PValB+/,28,,,,,,,,,,
1700,0,0,0,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,/,/,Brn3a+,PValB+,/,AC////////Brn3a+PValB+/,18,,,,,,,,,,
1701,0,0,1,0,0,0,0,0,0,1,0,,AC/,/,/,/,/,/,MEIS+/,/,Brn3a+,/,CalB+,AC//////MEIS+//Brn3a+/CalB+,14,,,,,,,,,,
1702,1,0,1,0,0,0,1,0,0,0,1,,AC/,/,Syt10+/,/,/,/,MEIS+/,/,/,PValB+,/,AC//Syt10+////MEIS+///PValB+/,6,,,,,,,,,,
1703,0,0,1,1,0,0,0,0,1,0,0,,GC/,/,/,/,/,Ca8+/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC/////Ca8+/MEIS+//Brn3a+PValB+CalB+,26,,,,,,,,,,
1704,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1705,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1706,1,0,1,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,MEIS+/,/,/,/,/,AC//////MEIS+/////,15,,,,,,,,,,
1707,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1708,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
1709,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1710,0,0,0,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,/,/,Brn3a+,PValB+,/,AC////////Brn3a+PValB+/,18,,,,,,,,,,
1711,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
1712,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1713,1,0,1,0,0,1,0,0,0,0,0,,AC/,/,/,Syt6+/,/,/,MEIS+/,/,/,PValB+,CalB+,AC///Syt6+///MEIS+///PValB+CalB+,11,,,,,,,,,,
1714,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1715,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1716,1,0,1,0,0,0,0,0,0,1,0,,AC/,/,/,/,/,/,MEIS+/,/,/,/,CalB+,AC//////MEIS+////CalB+,21,,,,,,,,,,
1717,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
1718,0,0,1,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,AC//////MEIS+//Brn3a+PValB+CalB+,24,,,,,,,,,,
1719,0,0,1,1,0,0,0,0,1,0,0,,GC/,/,/,/,/,Ca8+/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC/////Ca8+/MEIS+//Brn3a+PValB+CalB+,26,,,,,,,,,,
1720,0,0,0,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,/,/,Brn3a+,PValB+,/,AC////////Brn3a+PValB+/,18,,,,,,,,,,
1721,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
1722,0,0,1,1,0,0,0,0,1,0,0,,GC/,/,/,/,/,Ca8+/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC/////Ca8+/MEIS+//Brn3a+PValB+CalB+,26,,,,,,,,,,
1723,0,0,0,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,/,/,Brn3a+,PValB+,CalB+,AC////////Brn3a+PValB+CalB+,27,,,,,,,,,,
1724,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1725,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
1726,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
1727,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,,,
1728,0,1,0,0,0,0,0,0,0,1,0,,AC/,/,/,/,/,/,/,CalR+/,Brn3a+,/,CalB+,AC///////CalR+/Brn3a+/CalB+,14,,,,,,,,,,
1729,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,,,,,,,
1730,1,0,0,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,/,/,/,PValB+,/,AC/////////PValB+/,9,,,,,,,,,,
1731,1,0,0,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,/,/,/,PValB+,/,AC/////////PValB+/,9,,,,,,,,,,
