ROI number,Brn3a-_neg,CalR+,MEIS2+,CAVIII+,FOXP2+,Syt6+,Syt10+,Satb2+,RBPMS+,Pvalb_neg,CalB_neg,,RBPMS,Satb2+,Syt10+,Syt6+,FoxP2+,Ca8,MEIS2+,CalR,Brn3a,PValB,CalB,all,Cluster Assignment,,,,,,,,,,
35,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,GC/Satb2+///////Brn3a+PValB+/,5,,,AC///Syt6+//////PValB+/,3,
36,1,0,0,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,/,/,/,PValB+,CalB+,AC/////////PValB+CalB+,7,,,,GC/Satb2+/////MEIS+//Brn3a+//,4,,,AC///Syt6+//////PValB+CalB+,9,
37,0,1,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,CalR+/,Brn3a+,PValB+,CalB+,GC//////MEIS+/CalR+/Brn3a+PValB+CalB+,23,,,,GC/Satb2+/////MEIS+//Brn3a+/CalB+,1,,,AC///Syt6+/////Brn3a+//,5,
38,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,GC/Satb2+/////MEIS+//Brn3a+PValB+/,8,,,AC///Syt6+/////Brn3a+PValB+CalB+,121,
39,1,0,0,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,/,/,/,PValB+,CalB+,AC/////////PValB+CalB+,7,,,,GC/Satb2+/////MEIS+//Brn3a+PValB+CalB+,1,,,AC///Syt6+////CalR+////,1,
40,0,0,0,0,0,0,0,0,0,1,0,,AC/,/,/,/,/,/,/,/,Brn3a+,/,CalB+,AC////////Brn3a+/CalB+,29,,,,GC/Satb2+/////MEIS+/CalR+//PValB+/,1,,,AC///Syt6+////CalR+//PValB+/,1,
41,1,0,0,0,0,0,0,0,0,1,0,,AC/,/,/,/,/,/,/,/,/,/,CalB+,AC//////////CalB+,17,,,,GC/Satb2+/////MEIS+/CalR+/Brn3a+//,1,,,AC///Syt6+////CalR+/Brn3a+PValB+CalB+,1,
42,0,0,1,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,MEIS+/,/,Brn3a+,/,/,AC//////MEIS+//Brn3a+//,10,,,,GC/Satb2+/////MEIS+/CalR+/Brn3a+/CalB+,2,,,AC///Syt6+///MEIS+/////,27,
43,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,GC/Satb2+/Syt10+//////Brn3a+PValB+/,1,,,AC///Syt6+///MEIS+////CalB+,2,
44,1,0,0,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,/,/,/,PValB+,CalB+,AC/////////PValB+CalB+,7,,,,GC/Satb2+/Syt10+//////Brn3a+PValB+CalB+,1,,,AC///Syt6+///MEIS+///PValB+/,2,
45,0,0,1,0,0,0,0,0,0,0,0,,AC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,AC//////MEIS+//Brn3a+PValB+CalB+,24,,,,GC/Satb2+/Syt10+////MEIS+//Brn3a+//,2,,,AC///Syt6+///MEIS+///PValB+CalB+,2,
46,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,GC/Satb2+/Syt10+////MEIS+//Brn3a+PValB+/,1,,,AC///Syt6+///MEIS+//Brn3a+//,1,
47,1,0,0,0,0,0,0,0,0,1,1,,AC/,/,/,/,/,/,/,/,/,/,/,AC///////////,16,,,,GC/Satb2+/Syt10+////MEIS+/CalR+/Brn3a+PValB+/,1,,,AC///Syt6+///MEIS+//Brn3a+/CalB+,1,
48,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,AC///Syt6+///MEIS+//Brn3a+PValB+CalB+,3,
49,1,0,0,0,0,0,0,0,0,0,1,,AC/,/,/,/,/,/,/,/,/,PValB+,/,AC/////////PValB+/,9,,,,,1916,,,AC///Syt6+///MEIS+/CalR+////,2,
50,0,1,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,CalR+/,Brn3a+,PValB+,CalB+,GC//////MEIS+/CalR+/Brn3a+PValB+CalB+,23,,,,,,,,AC///Syt6+///MEIS+/CalR+/Brn3a+//,1,
51,0,0,1,0,0,0,0,0,1,0,0,,GC/,/,/,/,/,/,MEIS+/,/,Brn3a+,PValB+,CalB+,GC//////MEIS+//Brn3a+PValB+CalB+,19,,,,,,,,AC///Syt6+///MEIS+/CalR+/Brn3a+PValB+CalB+,3,
